title,company,location,remote,skills,date_posted,url,source
(Senior) SAP Berater:in HCM - SAP SuccessFactors,NTT DATA Business Solutions AG,Berlin,True,,17 hours ago,https://www.stepstone.de/stellenangebote--Senior-SAP-Berater-in-HCM-SAP-SuccessFactors-Berlin-NTT-DATA-Business-Solutions-AG--13673128-inline.html,StepStone
Senior SAP Consultant: Global Trade Services (GTS),NTT DATA Business Solutions AG,Berlin,False,,18 hours ago,https://www.stepstone.de/stellenangebote--Senior-SAP-Berater-in-Global-Trade-Services-GTS-Berlin-NTT-DATA-Business-Solutions-AG--13673136-inline.html,StepStone
SAP E-Invoice consultant,NTT DATA Business Solutions AG,Berlin,False,,18 hours ago,https://www.stepstone.de/stellenangebote--SAP-E-Invoice-Berater-in-Berlin-NTT-DATA-Business-Solutions-AG--13673131-inline.html,StepStone
SAP consultant S/4 HANA PP/DS,NTT DATA Business Solutions AG,Berlin,False,,18 hours ago,https://www.stepstone.de/stellenangebote--SAP-Berater-in-S-4-HANA-PP-DS-Berlin-NTT-DATA-Business-Solutions-AG--13673142-inline.html,StepStone
two IT specialists (m/f/d) for specialist applications and systems with a focus on PKI infrastructures and certificate management,Federal Chancellery,Berlin,True,,13 hours ago,https://www.stepstone.de/stellenangebote--zwei-IT-Spezialisten-IT-Spezialistinnen-m-w-d-fuer-Fachanwendungen-und-Systeme-mit-Schwerpunkt-PKI-Infrastrukturen-und-Zertifikatsmanagement-Berlin-Bundeskanzleramt--13998936-inline.html,StepStone
Project manager (f/m/d) for rail infrastructure – control and safety technology,Drees & Sommer SE,"Frankfurt, Hamburg, Berlin, Mainz, Bremen, Hanover",True,,"Drees & Sommer SE * Frankfurt, Hamburg, Berlin, Mainz, Bremen, Hanover * Permanent position * Home office possible, full-time - We get up every morning to create a future worth living for future generations. Depending on the project, we are consultants, implementers – or both – of sustainable, innovative and economical solutions for real estate, industry, energy and infrastructure. Our 6,500 employees at over 70 locations worldwide support our customers in interdisciplinary teams. We think visionary and realistic. We work independently and in a team. With passion and the most modern technologies. We unite. Join us at Dreso and let's create a world we want to live in. Your tasks - Steering the future of rail together - your opportunity at Drees & Sommer! You don't just want to be there, you want to set the direction?",https://www.stepstone.de/stellenangebote--Projektmanager-w-m-d-fuer-Schieneninfrastruktur-Leit-und-Sicherungstechnik-Frankfurt-Hamburg-Berlin-Mainz-Bremen-Hannover-Drees-Sommer-SE--12916171-inline.html,StepStone
(Senior) SAP Berater:in IBP - Integrated Business Planning,NTT DATA Business Solutions AG,Berlin,False,,17 hours ago,https://www.stepstone.de/stellenangebote--Senior-SAP-Berater-in-IBP-Integrated-Business-Planning-Berlin-NTT-DATA-Business-Solutions-AG--13673146-inline.html,StepStone
SAP consultant - SAP HCM / SAP SuccessFactors with a focus on payroll,NTT DATA Business Solutions AG,Berlin,False,,17 hours ago,https://www.stepstone.de/stellenangebote--SAP-Berater-in-SAP-HCM-SAP-SuccessFactors-mit-Schwerpunkt-Payroll-Berlin-NTT-DATA-Business-Solutions-AG--13673147-inline.html,StepStone
SAP consultant: in warehouse logistics - EWM,NTT DATA Business Solutions AG,Berlin,False,,17 hours ago,https://www.stepstone.de/stellenangebote--SAP-Berater-in-Lagerlogistik-EWM-Berlin-NTT-DATA-Business-Solutions-AG--13673151-inline.html,StepStone
Senior IT System Architekt Business Process Management Plattform (m/w/d),BWI GmbH,"nationwide, Bonn, Frankfurt, Hamburg, Hanover, Munich, Nuremberg, Ulm, Berlin, Leipzig",True,,1 day ago,https://www.stepstone.de/stellenangebote--Senior-IT-System-Architekt-Business-Process-Management-Plattform-m-w-d-bundesweit-Bonn-Frankfurt-Hamburg-Hannover-Muenchen-Nuernberg-Ulm-Berlin-Leipzig-BWI-GmbH--13997505-inline.html,StepStone
Senior IT Business Architect Healthcare (m/w/d),BWI GmbH,"Bonn, Meckenheim, Hamburg, Munich, Frankfurt am Main, Berlin",True,,1 day ago,https://www.stepstone.de/stellenangebote--Senior-IT-Business-Architect-Healthcare-m-w-d-Bonn-Meckenheim-Hamburg-Muenchen-Frankfurt-am-Main-Berlin-BWI-GmbH--13996873-inline.html,StepStone
